Seed,Popsize,Ngen,Pcross,Pmut,Cost,Time,CrowdingDistance,ExecTimeSec
0.100000,1000,4000,0.9,0.01,319.00,785.00,0.043177,34.985
0.100000,1000,4000,0.9,0.01,190.00,1150.00,0.076004,34.985
0.100000,1000,4000,0.9,0.01,276.00,839.00,0.042400,34.985
0.100000,1000,4000,0.9,0.01,309.00,787.00,0.054173,34.985
0.100000,1000,4000,0.9,0.01,199.00,1096.00,0.061460,34.985
0.100000,1000,4000,0.9,0.01,269.00,848.00,0.044570,34.985
0.100000,1000,4000,0.9,0.01,224.00,1005.00,0.019235,34.985
0.100000,1000,4000,0.9,0.01,241.00,941.00,0.078746,34.985
0.100000,1000,4000,0.9,0.01,192.00,1105.00,0.076004,34.985
0.100000,1000,4000,0.9,0.01,253.00,892.00,0.042400,34.985
0.100000,1000,4000,0.9,0.01,219.00,1008.00,0.042400,34.985
0.100000,1000,4000,0.9,0.01,267.00,861.00,0.041638,34.985
0.100000,1000,4000,0.9,0.01,180.00,1266.00,0.076004,34.985
0.100000,1000,4000,0.9,0.01,281.00,836.00,0.042400,34.985
0.100000,1000,4000,0.9,0.01,183.00,1159.00,0.090153,34.985
0.100000,1000,4000,0.9,0.01,226.00,989.00,0.046931,34.985
0.100000,1000,4000,0.9,0.01,302.00,796.00,0.042400,34.985
0.100000,1000,4000,0.9,0.01,290.00,808.00,0.050464,34.985
0.100000,1000,4000,0.9,0.01,331.00,773.00,0.130513,34.985
0.100000,1000,4000,0.9,0.01,264.00,888.00,0.026698,34.985
0.100000,1000,4000,0.9,0.01,225.00,1004.00,0.020819,34.985
0.100000,1000,4000,0.9,0.01,233.00,977.00,0.058719,34.985
0.100000,1000,4000,0.9,0.01,369.00,766.00,100000000000000.000000,34.985
0.100000,1000,4000,0.9,0.01,258.00,889.00,0.031990,34.985
0.100000,1000,4000,0.9,0.01,324.00,782.00,0.042400,34.985
0.100000,1000,4000,0.9,0.01,234.00,950.00,0.055772,34.985
0.100000,1000,4000,0.9,0.01,288.00,827.00,0.050464,34.985
0.100000,1000,4000,0.9,0.01,203.00,1071.00,0.061460,34.985
0.100000,1000,4000,0.9,0.01,297.00,799.00,0.042400,34.985
0.100000,1000,4000,0.9,0.01,210.00,1062.00,0.076004,34.985
0.100000,1000,4000,0.9,0.01,182.00,1221.00,0.112761,34.985
0.100000,1000,4000,0.9,0.01,246.00,901.00,0.078746,34.985
0.100000,1000,4000,0.9,0.01,173.00,1275.00,100000000000000.000000,34.985
0.100000,1000,4000,0.9,0.01,265.00,880.00,0.034176,34.985
0.100000,1000,4000,0.9,0.01,212.00,1017.00,0.076004,34.985
