# FRENTE DE PARETO - 339 soluciones optimas
# Instancia: instancia_intermedia_grande
# Dimensiones: 20 Jobs, 10 Maquinas, 20 Operaciones
# seed=0.640000 popsize=1000 ngen=4000
# exec_time_sec=147.469
solucion,costo_total,tiempo_total,crowding_distance
181,5294.00,19515.00,0.002180
182,5732.00,17691.00,0.003630
183,4959.00,21223.00,0.004355
184,7263.00,14212.00,0.007656
185,5131.00,20357.00,0.002056
186,5328.00,19345.00,0.003038
187,4749.00,22533.00,0.006927
188,5762.00,17550.00,0.004832
189,4346.00,26480.00,100000000000000.000000
190,4388.00,25621.00,0.010254
191,5219.00,19913.00,0.001409
192,6099.00,16566.00,0.005001
193,5232.00,19846.00,0.003314
194,5296.00,19505.00,0.002824
195,5316.00,19434.00,0.006686
196,5307.00,19457.00,0.003994
197,5848.00,17294.00,0.006825
198,4478.00,24629.00,0.002098
199,5759.00,17639.00,0.002622
200,5976.00,16896.00,0.008413
201,4849.00,21894.00,0.006836
202,5354.00,19197.00,0.009804
203,5624.00,18061.00,0.006937
204,6627.00,15206.00,0.003982
205,5994.00,16823.00,0.005867
206,6808.00,14854.00,0.006146
207,6797.00,14899.00,0.009393
208,5106.00,20413.00,0.005695
209,6220.00,16203.00,0.004920
210,5598.00,18221.00,0.002545
211,5391.00,19027.00,0.007535
212,5774.00,17527.00,0.003797
213,6065.00,16658.00,0.003068
214,4393.00,25487.00,0.015477
215,5497.00,18634.00,0.004895
216,6805.00,14881.00,0.003590
217,5098.00,20460.00,0.006855
218,5274.00,19670.00,0.003822
219,5991.00,16848.00,0.002988
220,6843.00,14807.00,0.005681
221,5220.00,19895.00,0.001287
222,4429.00,25166.00,0.002426
223,6589.00,15268.00,0.005899
224,5983.00,16853.00,0.004359
225,5760.00,17629.00,0.004058
226,4983.00,21154.00,0.007756
227,5178.00,20042.00,0.005101
228,5125.00,20406.00,0.002177
229,6464.00,15533.00,0.008258
230,5439.00,18824.00,0.005369
231,4413.00,25181.00,0.004123
232,4945.00,21285.00,0.004074
233,4407.00,25205.00,0.015522
234,6498.00,15529.00,0.006564
235,4610.00,23427.00,0.006641
236,5943.00,16901.00,0.008413
237,6361.00,15834.00,0.006591
238,5929.00,17000.00,0.005810
239,5003.00,20989.00,0.009109
240,4820.00,22080.00,0.004591
241,5276.00,19600.00,0.006358
242,6958.00,14579.00,0.006298
243,5073.00,20684.00,0.004108
244,7059.00,14469.00,0.012787
245,5752.00,17662.00,0.002867
246,6232.00,16146.00,0.002984
247,5303.00,19481.00,0.003710
248,4571.00,23670.00,0.015567
249,6705.00,15026.00,0.007845
250,5689.00,17796.00,0.010448
251,6854.00,14748.00,0.008497
252,4486.00,24465.00,0.013628
253,4436.00,25159.00,0.005432
254,5400.00,18987.00,0.005447
255,4705.00,22832.00,0.004479
256,5026.00,20870.00,0.005011
257,5861.00,17265.00,0.001212
258,6180.00,16338.00,0.003033
259,6183.00,16325.00,0.002536
260,7033.00,14510.00,0.009338
261,6022.00,16740.00,0.005885
262,5716.00,17783.00,0.008082
263,5177.00,20099.00,0.005282
264,5525.00,18471.00,0.004554
265,4689.00,22928.00,0.006728
266,6445.00,15645.00,0.002541
267,6580.00,15338.00,0.006661
268,4879.00,21660.00,0.004951
269,7161.00,14356.00,0.008584
270,6449.00,15622.00,0.002095
271,4451.00,24780.00,0.018388
272,5470.00,18731.00,0.003543
273,5466.00,18789.00,0.002454
274,5086.00,20503.00,0.006285
275,6622.00,15225.00,0.001936
276,4369.00,25839.00,0.014208
277,6505.00,15491.00,0.004952
278,4812.00,22136.00,0.002618
279,6373.00,15791.00,0.002951
280,4529.00,24066.00,0.003322
281,6628.00,15150.00,0.006382
282,5883.00,17158.00,0.007499
283,4533.00,24062.00,0.006653
284,5737.00,17668.00,0.003598
285,4912.00,21480.00,0.004349
286,4923.00,21404.00,0.010105
287,6224.00,16172.00,0.004233
288,5804.00,17374.00,0.010403
289,6233.00,16134.00,0.004608
290,6561.00,15379.00,0.007273
291,6147.00,16380.00,0.009702
292,4712.00,22740.00,0.006077
293,6401.00,15747.00,0.008477
294,5222.00,19849.00,0.003509
295,4741.00,22549.00,0.002909
296,5409.00,18964.00,0.005584
297,4853.00,21858.00,0.004191
298,6383.00,15788.00,0.006307
299,5603.00,18214.00,0.005073
300,4603.00,23543.00,0.006315
301,5518.00,18539.00,0.003914
302,4966.00,21199.00,0.002461
303,5380.00,19152.00,0.003218
304,7193.00,14268.00,0.009319
305,6416.00,15672.00,0.006347
306,5036.00,20807.00,0.004349
307,4673.00,23049.00,0.003060
308,5453.00,18805.00,0.004977
309,4474.00,24663.00,0.009833
310,5221.00,19889.00,0.002170
311,4896.00,21633.00,0.002914
312,4351.00,25974.00,0.029450
313,4908.00,21549.00,0.004021
314,5082.00,20634.00,0.004021
315,6120.00,16497.00,0.004626
316,6050.00,16711.00,0.001210
317,6209.00,16234.00,0.006698
318,4377.00,25725.00,0.011829
319,5430.00,18887.00,0.003018
320,5536.00,18452.00,0.006659
321,6294.00,15946.00,0.010259
322,5863.00,17263.00,0.001817
323,4860.00,21834.00,0.004315
324,6334.00,15886.00,0.006868
325,5428.00,18961.00,0.005129
326,7164.00,14349.00,0.005601
327,4792.00,22244.00,0.007428
328,4656.00,23209.00,0.006432
329,4601.00,23548.00,0.002750
330,5120.00,20407.00,0.003362
331,4953.00,21255.00,0.004758
332,5009.00,20890.00,0.008505
333,5678.00,17923.00,0.003464
334,5047.00,20722.00,0.007147
335,5535.00,18467.00,0.002546
336,4632.00,23212.00,0.015357
337,4500.00,24247.00,0.013160
338,4476.00,24636.00,0.002013
339,5344.00,19273.00,0.008331
