solucion,job,operacion,maquina_asignada,costo,tiempo
15,2,3,1,33.00,13.00
15,3,1,1,5.00,155.00
15,3,2,3,21.00,28.00
15,3,3,1,28.00,90.00
15,4,1,2,9.00,39.00
15,4,2,2,16.00,161.00
15,4,3,1,15.00,16.00
16,1,1,1,29.00,119.00
16,1,2,2,30.00,70.00
16,1,3,1,9.00,97.00
16,2,1,1,18.00,95.00
16,2,2,3,20.00,94.00
16,2,3,3,12.00,53.00
16,3,1,1,5.00,155.00
16,3,2,3,21.00,28.00
16,3,3,1,28.00,90.00
16,4,1,2,9.00,39.00
16,4,2,2,16.00,161.00
16,4,3,1,15.00,16.00
17,1,1,1,29.00,119.00
17,1,2,2,30.00,70.00
17,1,3,1,9.00,97.00
17,2,1,1,18.00,95.00
17,2,2,3,20.00,94.00
17,2,3,1,33.00,13.00
17,3,1,1,5.00,155.00
17,3,2,3,21.00,28.00
17,3,3,1,28.00,90.00
17,4,1,2,9.00,39.00
17,4,2,1,50.00,45.00
17,4,3,1,15.00,16.00
18,1,1,1,29.00,119.00
18,1,2,2,30.00,70.00
18,1,3,1,9.00,97.00
18,2,1,1,18.00,95.00
18,2,2,3,20.00,94.00
18,2,3,3,12.00,53.00
18,3,1,1,5.00,155.00
18,3,2,3,21.00,28.00
18,3,3,3,8.00,178.00
18,4,1,1,16.00,30.00
18,4,2,2,16.00,161.00
18,4,3,1,15.00,16.00
19,1,1,1,29.00,119.00
19,1,2,2,30.00,70.00
19,1,3,3,32.00,44.00
19,2,1,1,18.00,95.00
19,2,2,3,20.00,94.00
19,2,3,1,33.00,13.00
19,3,1,1,5.00,155.00
19,3,2,1,43.00,14.00
19,3,3,2,40.00,78.00
19,4,1,2,9.00,39.00
19,4,2,1,50.00,45.00
19,4,3,1,15.00,16.00
20,1,1,1,29.00,119.00
20,1,2,2,30.00,70.00
20,1,3,3,32.00,44.00
20,2,1,1,18.00,95.00
20,2,2,3,20.00,94.00
20,2,3,3,12.00,53.00
20,3,1,1,5.00,155.00
20,3,2,3,21.00,28.00
20,3,3,2,40.00,78.00
20,4,1,1,16.00,30.00
20,4,2,1,50.00,45.00
20,4,3,1,15.00,16.00
21,1,1,1,29.00,119.00
21,1,2,2,30.00,70.00
21,1,3,1,9.00,97.00
21,2,1,1,18.00,95.00
21,2,2,3,20.00,94.00
21,2,3,3,12.00,53.00
21,3,1,1,5.00,155.00
21,3,2,3,21.00,28.00
21,3,3,2,40.00,78.00
21,4,1,1,16.00,30.00
21,4,2,1,50.00,45.00
21,4,3,1,15.00,16.00
22,1,1,2,20.00,173.00
22,1,2,2,30.00,70.00
22,1,3,1,9.00,97.00
22,2,1,1,18.00,95.00
22,2,2,3,20.00,94.00
22,2,3,3,12.00,53.00
22,3,1,1,5.00,155.00
22,3,2,3,21.00,28.00
22,3,3,1,28.00,90.00
22,4,1,2,9.00,39.00
22,4,2,3,38.00,94.00
22,4,3,1,15.00,16.00
23,1,1,1,29.00,119.00
23,1,2,2,30.00,70.00
23,1,3,1,9.00,97.00
23,2,1,1,18.00,95.00
23,2,2,3,20.00,94.00
23,2,3,3,12.00,53.00
23,3,1,1,5.00,155.00
23,3,2,3,21.00,28.00
23,3,3,1,28.00,90.00
23,4,1,1,16.00,30.00
23,4,2,2,16.00,161.00
23,4,3,1,15.00,16.00
24,1,1,1,29.00,119.00
24,1,2,2,30.00,70.00
24,1,3,1,9.00,97.00
24,2,1,1,18.00,95.00
24,2,2,3,20.00,94.00
24,2,3,3,12.00,53.00
24,3,1,1,5.00,155.00
24,3,2,3,21.00,28.00
24,3,3,1,28.00,90.00
24,4,1,1,16.00,30.00
24,4,2,1,50.00,45.00
24,4,3,1,15.00,16.00
25,1,1,2,20.00,173.00
25,1,2,3,20.00,186.00
25,1,3,1,9.00,97.00
25,2,1,1,18.00,95.00
25,2,2,3,20.00,94.00
25,2,3,3,12.00,53.00
25,3,1,1,5.00,155.00
25,3,2,3,21.00,28.00
25,3,3,3,8.00,178.00
25,4,1,1,16.00,30.00
25,4,2,2,16.00,161.00
25,4,3,1,15.00,16.00
26,1,1,1,29.00,119.00
26,1,2,2,30.00,70.00
26,1,3,1,9.00,97.00
26,2,1,1,18.00,95.00
26,2,2,3,20.00,94.00
26,2,3,3,12.00,53.00
26,3,1,1,5.00,155.00
26,3,2,3,21.00,28.00
26,3,3,1,28.00,90.00
26,4,1,2,9.00,39.00
26,4,2,3,38.00,94.00
