Seed,Popsize,Ngen,Pcross,Pmut,Cost,Time,CrowdingDistance
0.100000,1000,4000,0.9,0.01,25018.00,94644.00,0.030076
0.100000,1000,4000,0.9,0.01,18552.00,206868.00,0.003868
0.100000,1000,4000,0.9,0.01,54300.00,53296.00,0.012544
0.100000,1000,4000,0.9,0.01,15568.00,253170.00,0.006221
0.100000,1000,4000,0.9,0.01,16447.00,239713.00,0.013048
0.100000,1000,4000,0.9,0.01,21415.00,160684.00,0.015780
0.100000,1000,4000,0.9,0.01,45071.00,61059.00,0.019343
0.100000,1000,4000,0.9,0.01,15882.00,247953.00,0.007061
0.100000,1000,4000,0.9,0.01,17868.00,218353.00,0.009939
0.100000,1000,4000,0.9,0.01,15810.00,249867.00,0.009407
0.100000,1000,4000,0.9,0.01,19415.00,189576.00,0.025479
0.100000,1000,4000,0.9,0.01,42498.00,62386.00,0.032818
0.100000,1000,4000,0.9,0.01,16942.00,228035.00,0.019385
0.100000,1000,4000,0.9,0.01,18845.00,204251.00,0.008844
0.100000,1000,4000,0.9,0.01,21856.00,154242.00,0.002198
0.100000,1000,4000,0.9,0.01,16097.00,247259.00,0.008742
0.100000,1000,4000,0.9,0.01,22460.00,143782.00,0.008947
0.100000,1000,4000,0.9,0.01,15351.00,254522.00,0.005028
0.100000,1000,4000,0.9,0.01,67068.00,42170.00,0.011054
0.100000,1000,4000,0.9,0.01,66226.00,42671.00,0.014014
0.100000,1000,4000,0.9,0.01,24015.00,116746.00,0.010729
0.100000,1000,4000,0.9,0.01,21826.00,154825.00,0.004597
0.100000,1000,4000,0.9,0.01,32347.00,70950.00,0.024068
0.100000,1000,4000,0.9,0.01,17400.00,225108.00,0.007077
0.100000,1000,4000,0.9,0.01,19824.00,187667.00,0.002759
0.100000,1000,4000,0.9,0.01,22408.00,145821.00,0.009356
0.100000,1000,4000,0.9,0.01,17227.00,227992.00,0.006378
0.100000,1000,4000,0.9,0.01,23013.00,134733.00,0.003846
0.100000,1000,4000,0.9,0.01,20672.00,166096.00,0.031254
0.100000,1000,4000,0.9,0.01,24795.00,105012.00,0.003047
0.100000,1000,4000,0.9,0.01,17781.00,220822.00,0.010375
0.100000,1000,4000,0.9,0.01,19761.00,187691.00,0.008342
0.100000,1000,4000,0.9,0.01,18462.00,207752.00,0.005114
0.100000,1000,4000,0.9,0.01,60169.00,47558.00,0.014634
0.100000,1000,4000,0.9,0.01,50166.00,56817.00,0.009137
0.100000,1000,4000,0.9,0.01,18415.00,209199.00,0.015117
0.100000,1000,4000,0.9,0.01,24687.00,106877.00,0.007136
0.100000,1000,4000,0.9,0.01,16781.00,236504.00,0.007092
0.100000,1000,4000,0.9,0.01,18944.00,198726.00,0.018739
0.100000,1000,4000,0.9,0.01,23305.00,121982.00,0.023954
0.100000,1000,4000,0.9,0.01,15019.00,254672.00,100000000000000.000000
0.100000,1000,4000,0.9,0.01,60818.00,46583.00,0.022705
0.100000,1000,4000,0.9,0.01,22584.00,141374.00,0.011846
0.100000,1000,4000,0.9,0.01,23015.00,134362.00,0.007035
0.100000,1000,4000,0.9,0.01,15675.00,252527.00,0.005718
0.100000,1000,4000,0.9,0.01,31599.00,71306.00,0.025511
0.100000,1000,4000,0.9,0.01,16675.00,237387.00,0.010648
0.100000,1000,4000,0.9,0.01,24314.00,109348.00,0.018641
