F1,F2,CPU_seg
12064,9478,129
10314,9841,144
8576,11065,144
6978,13271,147
5926,15587,145
11501,43984,3629
4541,21636,3550
11342,44623,3629
11262,45105,3630
3428,35499,149
3310,43224,150
