Seed,Popsize,Ngen,Pcross,Pmut,Cost,Time,CrowdingDistance,ExecTimeSec
0.100000,1000,4000,0.9,0.01,5349.00,17454.00,0.000000,173.450
0.100000,1000,4000,0.9,0.01,12092.00,9478.00,0.000000,173.450
0.100000,1000,4000,0.9,0.01,4156.00,26678.00,0.007203,173.450
0.100000,1000,4000,0.9,0.01,6059.00,15952.00,0.002444,173.450
0.100000,1000,4000,0.9,0.01,7966.00,12716.00,0.005391,173.450
0.100000,1000,4000,0.9,0.01,5218.00,18393.00,0.004353,173.450
0.100000,1000,4000,0.9,0.01,7780.00,13016.00,0.005903,173.450
0.100000,1000,4000,0.9,0.01,5888.00,16394.00,0.005115,173.450
0.100000,1000,4000,0.9,0.01,5857.00,16493.00,0.003484,173.450
0.100000,1000,4000,0.9,0.01,5838.00,16550.00,0.002127,173.450
0.100000,1000,4000,0.9,0.01,6941.00,14267.00,0.007112,173.450
0.100000,1000,4000,0.9,0.01,4541.00,23009.00,0.001830,173.450
0.100000,1000,4000,0.9,0.01,5340.00,17572.00,0.003747,173.450
0.100000,1000,4000,0.9,0.01,4110.00,27175.00,0.003106,173.450
0.100000,1000,4000,0.9,0.01,10132.00,10506.00,0.008243,173.450
0.100000,1000,4000,0.9,0.01,5617.00,16952.00,0.003742,173.450
0.100000,1000,4000,0.9,0.01,4427.00,23838.00,0.002101,173.450
0.100000,1000,4000,0.9,0.01,11616.00,9703.00,0.005328,173.450
0.100000,1000,4000,0.9,0.01,5516.00,17191.00,0.002388,173.450
0.100000,1000,4000,0.9,0.01,3468.00,38587.00,0.010134,173.450
0.100000,1000,4000,0.9,0.01,4664.00,21727.00,0.009928,173.450
0.100000,1000,4000,0.9,0.01,6472.00,15198.00,0.001961,173.450
0.100000,1000,4000,0.9,0.01,4421.00,23888.00,0.004788,173.450
0.100000,1000,4000,0.9,0.01,4243.00,25766.00,0.004176,173.450
0.100000,1000,4000,0.9,0.01,7895.00,12883.00,0.004543,173.450
0.100000,1000,4000,0.9,0.01,3781.00,31785.00,0.007950,173.450
